Player,Points won,SG Putt RC,SG ARG RC,SG App RC,SG OTT RC,SG TG2 RC,SG Total RC,Nationality ,DGR,SG putt AVG,SG ARG AVG,SG App AVG,SG OTT AVG,SG T2G AVG,SG Total AVG
Ludvig Aberg,2,2.06,-3.66,-4.23,2,-5.89,-3.84,EU,33,0.322,0.209,-0.006,0.982,1.185,1.507
Viktor Hovland,3.5,-0.52,2.07,4.11,4.06,10.24,9.72,EU,3,0.236,0.06,0.61,0.741,1.412,1.648
Max Homa,3.5,1.12,2.21,4.56,-1.93,4.84,5.96,US,10,0.612,0.233,0.475,0.317,1.026,1.638
Tyrrell Hatton,3.5,1.76,-0.05,0.34,3.15,3.45,5.21,EU,9,0.597,0.128,0.419,0.533,1.081,1.678
Jon Rahm,3,-1.46,2.41,3.55,4.24,10.19,8.73,Eu,6,0.336,0.104,0.878,0.36,1.343,1.679
Tommy Fleetwood,3,0.67,4.33,1.88,0.93,7.15,7.82,Eu,7,0.493,0.355,0.462,0.388,1.205,1.699
Robert Macintyre,2.5,-3.46,-1.6,-1.12,-0.3,-3.02,-6.48,Eu,144,-0.26,0.21,0.37,0.66,1.24,0.98
Patrick Cantlay,2,0.95,2.38,1.06,1.93,5.37,6.32,US,5,0.305,0.147,0.564,0.852,1.564,1.869
Brian Harman,2,-0.83,0.84,-1.19,0.32,-0.03,-0.87,US,16,0.291,0.092,0.322,0.083,0.497,0.68
Justin Rose,1.5,4.95,-5.12,-0.27,0.83,-4.56,0.39,EU,28,0.404,0.272,0.56,0.044,0.789,1.193
Shane Lowry,1.5,-1.12,1.19,-0.03,-1.01,0.15,-0.97,EU,35,-0.076,-0.033,0.531,0.234,0.733,0.822
Brooks Keopka,1.5,-0.41,-2.49,2.21,-1.73,-2.01,-2.42,US,11,0.226,0.036,0.636,0.468,1.14,1.366
Justin Thomas,1.5,-5.72,1.96,-1.88,-0.76,-0.68,-6.4,US,45,-0.478,0.466,0.639,0.135,1.24,0.836
Wyndham Clark,1.5,0.94,0.59,-5.19,-3.26,-7.86,-6.92,US,12,0.476,0.061,0.075,0.42,0.556,1.201
Sam Burns,1,4.47,-0.76,-2.53,1.71,-1.58,2.89,US,19,0.496,0.069,0.173,0.265,0.507,0.796
Sepp Straka ,1,-1.36,1.4,3.31,-3.73,0.97,-0.38,EU,39,-0.018,-0.333,0.303,0.253,0.223,0.474
Scottie Scheffler,1,-1.84,-3.22,3.03,0.73,0.53,-1.31,EU,1,-0.301,0.399,1.194,1.021,2.615,2.314
Xander Schauffle,1,-0.5,-0.26,-2.99,2.06,-1.19,-1.69,US,4,0.667,0.056,0.88,0.265,1.201,1.869
Mathew Fitzpatrick,1,2.35,-0.44,-2.76,-3.3,-6.5,-4.14,EU,15,0.525,0.238,-0.053,0.211,0.396,0.921
Collin Morikawa,1,-3.32,-0.62,1.39,-1.99,-1.22,-4.54,US,8,-0.109,0.047,1.012,0.487,1.547,1.438
Jordan Spieth ,1,2.58,-0.53,-2.85,-5.99,-9.36,-6.79,US,26,-0.006,-0.024,-0.204,0.5,0.271,0.71
HOJGAARD NICOLAI,0.5,-0.65,-2,-1.99,0.5,-3.49,-4.14,EU,62,0.415,0.016,0.36,-0.061,0.315,0.731
Rickie Fowler,0,0.19,-0.79,-2.04,-1.11,-3.94,-3.75,US,13,0.29,0.269,0.74,0.126,1.136,1.426
Rory Mcilroy ,4,-0.83,2.15,3.65,2.62,8.42,7.59,EU,2,0.164,0.309,0.721,0.907,1.938,2.102
